GpuName,SeqLen,HeadDim,Run,Range,Action,dram__cycles_active.avg,gpu__time_duration.sum,lts__cycles_active.avg,sm__cycles_active.avg,sm__cycles_elapsed.avg,sm__inst_executed.sum,sm__inst_executed_pipe_lsu.avg,sm__pipe_alu_cycles_active.avg,sm__pipe_fma_cycles_active.avg,sm__pipe_fmaheavy_cycles_active.avg,sm__pipe_fmalite_cycles_active.avg,sm__pipe_fp64_cycles_active.avg,sm__pipe_shared_cycles_active.avg,sm__pipe_tensor_cycles_active.avg,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,smsp__inst_executed_pipe_alu.sum,smsp__inst_executed_pipe_fma.sum,smsp__inst_executed_pipe_lsu.sum,smsp__inst_executed_pipe_tensor.sum,smsp__inst_executed_pipe_xu.avg.pct_of_peak_sustained_elapsed,smsp__inst_executed_pipe_xu.sum,smsp__issue_active.avg.pct_of_peak_sustained_elapsed,smsp__pcsamp_warps_issue_stalled_lg_throttle,smsp__pcsamp_warps_issue_stalled_long_scoreboard,smsp__pcsamp_warps_issue_stalled_math_pipe_throttle,smsp__pcsamp_warps_issue_stalled_not_selected,smsp__pcsamp_warps_issue_stalled_short_scoreboard,smsp__warps_issue_stalled_long_scoreboard.avg,smsp__warps_issue_stalled_math_pipe_throttle.avg,smsp__warps_issue_stalled_mio_throttle.avg,smsp__warps_issue_stalled_not_selected.avg,smsp__warps_issue_stalled_short_scoreboard.avg,smsp__warps_issue_stalled_wait.avg
h10080gbhbm3,1024,64,0,0,flash_fwd_splitkv_combine_kernel,850.0,6976.0,5557.6375,7147.924242424242,11045.10606060606,319872.0,65.93939393939394,1995.6363636363637,2024.7272727272727,1848.2424242424242,176.4848484848485,0.0,50.42424242424242,50.42424242424242,81920.0,389120.0,24576.0,0.0,131712.0,116608.0,8704.0,3328.0,3.0376815729440025,22144.0,5.649560960085161,0.0,166.0,0.0,0.0,50.0,2527.8257575757575,0.0,0.0,0.0,674.0814393939394,1325.6666666666667
h10080gbhbm3,1024,64,1,0,flash_fwd_splitkv_combine_kernel,850.0,7392.0,5724.85,7244.469696969697,11711.40909090909,319872.0,65.93939393939394,1995.6363636363637,2024.7272727272727,1848.2424242424242,176.4848484848485,0.0,50.42424242424242,50.42424242424242,81920.0,389120.0,24576.0,0.0,131712.0,116608.0,8704.0,3328.0,2.864857242290282,22144.0,5.328137674606348,0.0,172.0,0.0,0.0,48.0,2546.6117424242425,0.0,0.0,0.0,715.2727272727273,1325.6458333333333
h10080gbhbm3,1024,64,2,0,flash_fwd_splitkv_combine_kernel,850.0,6912.0,5373.5125,7100.825757575758,10903.40909090909,319872.0,65.93939393939394,1995.6363636363637,2024.7272727272727,1848.2424242424242,176.4848484848485,0.0,50.42424242424242,50.42424242424242,81920.0,389120.0,24576.0,0.0,131712.0,116608.0,8704.0,3328.0,3.0771582421400034,22144.0,5.7229807191245445,0.0,189.0,0.0,0.0,43.0,2504.471590909091,0.0,0.0,0.0,709.7083333333334,1325.6363636363637
h10080gbhbm3,1024,64,3,0,flash_fwd_splitkv_combine_kernel,850.0,7040.0,5364.2,7032.674242424242,11132.575757575758,319872.0,65.93939393939394,1995.6363636363637,2024.7272727272727,1848.2424242424242,176.4848484848485,0.0,50.42424242424242,50.42424242424242,81920.0,389120.0,24576.0,0.0,131712.0,116608.0,8704.0,3328.0,3.013814222524668,22144.0,5.605171827152092,0.0,165.0,0.0,0.0,31.0,2769.9564393939395,0.0,0.0,0.0,773.0075757575758,1325.590909090909
h10080gbhbm3,1024,64,4,0,flash_fwd_splitkv_combine_kernel,850.0,7168.0,5691.7625,7331.325757575758,11357.939393939394,319872.0,65.93939393939394,1995.6363636363637,2024.7272727272727,1848.2424242424242,176.4848484848485,0.0,50.42424242424242,50.42424242424242,81920.0,389120.0,24576.0,0.0,131712.0,116608.0,8704.0,3328.0,2.954014279158618,22144.0,5.493954302423615,0.0,169.0,0.0,0.0,32.0,2544.619318181818,0.0,0.0,0.0,733.0227272727273,1325.6079545454545
h10080gbhbm3,2048,64,0,0,flash_fwd_splitkv_combine_kernel,3345.8,9280.0,9211.3,10518.621212121212,14697.40909090909,696832.0,221.0909090909091,4266.666666666667,4437.333333333333,3872.242424242424,565.0909090909091,0.0,108.60606060606061,108.60606060606061,229376.0,1425408.0,65536.0,0.0,281600.0,258560.0,29184.0,7168.0,4.59202766102869,44544.0,9.16619503128257,0.0,340.0,4.0,8.0,54.0,10343.35606060606,139.46969696969697,9.37689393939394,193.04166666666666,1500.183712121212,2960.560606060606
h10080gbhbm3,2048,64,1,0,flash_fwd_splitkv_combine_kernel,3346.2000000000003,9376.0,9206.35,10562.189393939394,14821.545454545454,696832.0,221.0909090909091,4266.666666666667,4437.333333333333,3873.1363636363635,564.1969696969697,0.0,108.60606060606061,108.60606060606061,229376.0,1425408.0,65536.0,0.0,281600.0,258560.0,29184.0,7168.0,4.553567595085778,44544.0,9.093999112675855,0.0,346.0,3.0,6.0,44.0,10327.3125,153.36174242424244,17.43371212121212,193.1401515151515,1445.625,2960.314393939394
h10080gbhbm3,2048,64,2,0,flash_fwd_splitkv_combine_kernel,3345.8,9120.0,9173.55,10461.151515151516,14435.454545454546,696832.0,221.0909090909091,4266.666666666667,4437.333333333333,3869.090909090909,568.2424242424242,0.0,108.60606060606061,108.60606060606061,229376.0,1425408.0,65536.0,0.0,281600.0,258560.0,29184.0,7168.0,4.67535739026387,44544.0,9.337502886411823,0.0,356.0,2.0,4.0,45.0,10289.545454545454,147.1306818181818,17.098484848484848,191.63257575757575,1468.1098484848485,2960.8219696969695
h10080gbhbm3,2048,64,3,0,flash_fwd_splitkv_combine_kernel,3346.2000000000003,9312.0,9427.9375,10631.69696969697,14767.90909090909,696832.0,221.0909090909091,4266.666666666667,4437.333333333333,3868.1666666666665,569.1666666666666,0.0,108.60606060606061,108.60606060606061,229376.0,1425408.0,65536.0,0.0,281600.0,258560.0,29184.0,7168.0,4.570105942245779,44544.0,9.11666574328858,0.0,338.0,5.0,4.0,53.0,10351.16856060606,138.18371212121212,7.886363636363637,187.06439393939394,1531.7272727272727,2961.0189393939395
h10080gbhbm3,2048,64,4,0,flash_fwd_splitkv_combine_kernel,3345.8,9216.0,8929.7875,10523.931818181818,14561.378787878788,696832.0,221.0909090909091,4266.666666666667,4437.333333333333,3871.939393939394,565.3939393939394,0.0,108.60606060606061,108.60606060606061,229376.0,1425408.0,65536.0,0.0,281600.0,258560.0,29184.0,7168.0,4.634925721943996,44544.0,9.245047869467907,0.0,352.0,2.0,7.0,48.0,10403.202651515152,153.08901515151516,20.426136363636363,208.59848484848484,1377.3806818181818,2960.780303030303
