GpuName,SeqLen,HeadDim,Run,Range,Action,dram__bytes_read.sum,dram__bytes_write.sum,dram__cycles_active.avg,gpu__time_duration.sum,l1tex__cycles_active.avg,l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum,lts__cycles_active.avg,lts__t_sector_hit_rate.pct,lts__t_sectors.sum,lts__t_sectors_op_read.sum,lts__t_sectors_op_write.sum,sm__cycles_active.avg,sm__cycles_elapsed.avg,sm__inst_executed.sum,sm__inst_executed_pipe_lsu.avg,sm__pipe_alu_cycles_active.avg,sm__pipe_aluheavy_cycles_active.avg,sm__pipe_fma_cycles_active.avg,sm__pipe_fmaheavy_cycles_active.avg,sm__pipe_fmalite_cycles_active.avg,sm__pipe_fp64_cycles_active.avg,sm__pipe_tensor_cycles_active.avg,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,smsp__inst_executed_pipe_alu.sum,smsp__inst_executed_pipe_fma.sum,smsp__inst_executed_pipe_lsu.sum,smsp__inst_executed_pipe_tensor.sum,smsp__inst_executed_pipe_xu.avg.pct_of_peak_sustained_elapsed,smsp__inst_executed_pipe_xu.sum,smsp__issue_active.avg.pct_of_peak_sustained_elapsed,smsp__pcsamp_warps_issue_stalled_lg_throttle,smsp__pcsamp_warps_issue_stalled_long_scoreboard,smsp__pcsamp_warps_issue_stalled_math_pipe_throttle,smsp__pcsamp_warps_issue_stalled_membar,smsp__pcsamp_warps_issue_stalled_not_selected,smsp__pcsamp_warps_issue_stalled_short_scoreboard,smsp__warps_issue_stalled_long_scoreboard.avg,smsp__warps_issue_stalled_math_pipe_throttle.avg,smsp__warps_issue_stalled_mio_throttle.avg,smsp__warps_issue_stalled_not_selected.avg,smsp__warps_issue_stalled_short_scoreboard.avg,smsp__warps_issue_stalled_wait.avg
rtxpro6000blackwellserveredition,256,64,1,0,Kernel2,158720.0,0.0,1240.0,7360.0,881.1542553191489,16384.0,3471.140625,71.87283681579285,39005.0,30092.0,8209.0,881.1542553191489,13556.148936170213,216512.0,155.2340425531915,402.01063829787233,240.4787234042553,1464.5106382978724,830.2978723404256,795.7234042553191,0.0,0.0,0.0,4194304.0,65536.0,0.0,33024.0,136064.0,29184.0,0.0,0.0,0.0,2.123869359747245,0.0,6.0,0.0,0.0,0.0,10.0,132.35638297872342,1.9680851063829787,53.077127659574465,0.0,191.90824468085106,65.67952127659575
rtxpro6000blackwellserveredition,256,64,1,0,softmax_warp_forward,271616.0,0.0,2122.0,3232.0,888.1968085106383,8192.0,1618.1875,29.301049843942117,21146.0,12044.0,8206.0,888.1968085106383,5842.13829787234,77824.0,38.12765957446808,226.04255319148936,53.4468085106383,334.97872340425533,275.1489361702128,231.48936170212767,0.0,0.0,237568.0,589824.0,65536.0,0.0,21248.0,30976.0,7168.0,0.0,1.1187975839507904,6144.0,1.7714295079220848,0.0,14.0,0.0,0.0,0.0,4.0,282.66223404255317,2.88031914893617,0.0,0.0,164.06781914893617,144.0531914893617
rtxpro6000blackwellserveredition,256,64,1,0,vectorized_elementwise_kernel,267264.0,0.0,2088.0,2816.0,633.5691489361702,8192.0,1093.0,36.17703166730256,13105.0,10236.0,2061.0,633.5691489361702,5131.276595744681,11008.0,6.808510638297872,73.53191489361703,43.57446808510638,19.06382978723404,49.02127659574468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6656.0,1024.0,1280.0,0.0,0.0,0.0,0.28527594642783094,0.0,19.0,0.0,0.0,0.0,1.0,336.6755319148936,0.6808510638297872,0.0,0.0,69.69148936170212,18.382978723404257
rtxpro6000blackwellserveredition,256,64,1,0,reduce_kernel,130048.0,0.0,1016.0,4224.0,390.5425531914894,2048.0,1568.78125,93.53149432069627,27116.0,26760.0,32.0,390.5425531914894,7744.436170212766,63488.0,13.617021276595745,406.3936170212766,225.4255319148936,68.08510638297872,243.59574468085106,5.446808510638298,0.0,0.0,0.0,0.0,0.0,0.0,36608.0,4864.0,2560.0,0.0,0.0,0.0,1.0901443314830002,0.0,8.0,1.0,0.0,1.0,0.0,502.7845744680851,21.892287234042552,20.02127659574468,43.639627659574465,294.17021276595744,180.25797872340425
rtxpro6000blackwellserveredition,256,64,1,0,vectorized_elementwise_kernel,4096.0,0.0,32.0,2016.0,3.1861702127659575,0.0,229.21875,224.60496613995485,1772.0,1564.0,15.0,3.1861702127659575,3636.053191489362,124.0,0.0425531914893617,0.425531914893617,0.1276595744680851,0.1276595744680851,0.425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,8.0,8.0,0.0,0.0,0.0,0.00453496162837306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.824468085106383,0.6622340425531915
rtxpro6000blackwellserveredition,256,64,1,0,elementwise_kernel,278016.0,0.0,2172.0,3936.0,3668.505319148936,12288.0,2344.0,72.56663292847504,23712.0,14728.0,8206.0,3668.505319148936,7202.95744680851,125952.0,49.02127659574468,609.8191489361702,308.1489361702128,370.3829787234043,639.8085106382979,32.680851063829785,0.0,0.0,0.0,0.0,0.0,0.0,49152.0,27648.0,9216.0,0.0,0.0,0.0,2.3252860084067124,0.0,98.0,0.0,0.0,0.0,8.0,3306.9215425531916,7.401595744680851,3.421542553191489,10.42686170212766,371.79521276595744,341.5039893617021
rtxpro6000blackwellserveredition,256,64,1,0,vectorized_elementwise_kernel,267520.0,0.0,2090.0,2720.0,565.313829787234,8192.0,1168.46875,31.56227311728599,15151.0,10144.0,4111.0,565.313829787234,4919.936170212766,6144.0,6.808510638297872,16.340425531914892,13.617021276595745,24.51063829787234,27.23404255319149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1536.0,1280.0,1280.0,0.0,0.0,0.0,0.16606338950946428,0.0,19.0,0.0,0.0,0.0,3.0,334.79787234042556,0.0,0.0,0.0,70.55319148936171,19.06382978723404
rtxpro6000blackwellserveredition,256,64,1,0,Kernel2,356352.0,0.0,2784.0,6816.0,796.0,16384.0,3968.078125,59.543823196071024,42352.0,33440.0,8208.0,796.0,12538.68085106383,220992.0,155.5744680851064,433.79787234042556,254.82978723404256,1463.1489361702127,845.0106382978723,796.3829787234042,0.0,0.0,0.0,4194304.0,65536.0,0.0,35968.0,136000.0,29248.0,0.0,0.0,0.0,2.3437261376710024,2.0,5.0,0.0,0.0,0.0,5.0,95.40425531914893,2.7992021276595747,28.674202127659573,0.0,145.5997340425532,67.59707446808511
rtxpro6000blackwellserveredition,256,64,1,0,splitKreduce_kernel,278272.0,0.0,2174.0,3328.0,470.2074468085106,8192.0,1364.0625,50.06379770328269,17242.0,14476.0,2062.0,470.2074468085106,6050.670212765957,49664.0,24.51063829787234,152.59574468085106,64.38297872340425,119.82978723404256,175.67021276595744,32.170212765957444,0.0,0.0,65536.0,0.0,16384.0,0.0,14336.0,8192.0,4608.0,0.0,0.0,0.0,1.0914915351385375,0.0,8.0,0.0,0.0,1.0,1.0,646.9109042553191,4.236702127659575,114.51063829787235,34.59175531914894,301.93617021276594,195.78058510638297
rtxpro6000blackwellserveredition,256,64,1,0,vectorized_elementwise_kernel,70656.0,0.0,552.0,2688.0,151.09574468085106,2048.0,896.984375,82.43018309598669,5407.0,4002.0,1037.0,151.09574468085106,4920.287234042553,1536.0,1.702127659574468,4.085106382978723,3.404255319148936,6.127659574468085,6.808510638297872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,320.0,320.0,0.0,0.0,0.0,0.04151288521038601,0.0,4.0,0.0,0.0,0.0,1.0,78.55053191489361,0.0,0.0,0.0,18.70212765957447,4.76595744680851
rtxpro6000blackwellserveredition,256,64,2,0,unrolled_elementwise_kernel,64000.0,0.0,500.0,5024.0,1022.0,1024.0,1671.703125,88.4507593039171,15343.0,12896.0,2063.0,1022.0,9186.340425531915,25984.0,6.127659574468085,111.65957446808511,39.48936170212766,42.212765957446805,107.57446808510639,6.808510638297872,0.0,0.0,0.0,0.0,0.0,16384.0,9472.0,3328.0,1152.0,0.0,0.0,0.0,0.3761366320948309,0.0,28.0,0.0,0.0,0.0,0.0,531.1130319148937,0.9973404255319149,0.0,0.0,60.597074468085104,137.875
rtxpro6000blackwellserveredition,256,64,2,0,unrolled_elementwise_kernel,64000.0,0.0,500.0,5152.0,1049.712765957447,1024.0,1655.9375,88.39303190448229,15327.0,12888.0,2063.0,1049.712765957447,9467.191489361701,25984.0,6.127659574468085,111.65957446808511,39.48936170212766,42.212765957446805,107.57446808510639,6.808510638297872,0.0,0.0,0.0,0.0,0.0,16384.0,9472.0,3328.0,1152.0,0.0,0.0,0.0,0.36497826761177465,0.0,24.0,1.0,0.0,0.0,3.0,519.4973404255319,0.9973404255319149,0.0,0.0,60.640957446808514,137.875
rtxpro6000blackwellserveredition,256,64,2,0,unrolled_elementwise_kernel,64768.0,0.0,506.0,5152.0,1023.0957446808511,1024.0,1693.1875,88.49193390372935,15311.0,12880.0,2063.0,1023.0957446808511,9440.010638297872,25984.0,6.127659574468085,111.65957446808511,39.48936170212766,42.212765957446805,107.57446808510639,6.808510638297872,0.0,0.0,0.0,0.0,0.0,16384.0,9472.0,3328.0,1152.0,0.0,0.0,0.0,0.36602915836959254,0.0,26.0,0.0,0.0,0.0,3.0,526.1196808510638,0.9893617021276596,0.0,0.0,60.59574468085106,137.875
