GpuName,SeqLen,HeadDim,SM_Util,Tensor_Util,FMA_Util,FMA_Heavy_Util,FMA_Lite_Util,Shared_Util,ALU_Util,ALU_Heavy_Util,FP64_Util,L1_Cache_Util,LTS_Util,DRAM_Util,SFU_Util,SMSP_Util
h10080gbhbm3,8192,128,0.9338944687026988,1.7450217050696477,1.051407472502159,0.37660206227924964,0.6748054102229091,1.7450217050696477,0.6371242935365988,,0.0,0.9338944687026988,0.9758648561435216,0.05290300288302686,0.17499831802668397,0.36596281966837296
l4,256,64,0.031308813730111004,0.05325618813892636,0.021310276455004957,0.0076126704480813925,0.013697606006923565,,0.013054007053584489,,0.0,0.031308813730111004,0.16140437842318256,0.180736454896607,0.0035235417445432238,0.006270214045409482
l4,256,128,0.3339778541243021,0.09923096606953857,0.11628628836274052,0.09463250958831927,0.021653778774421248,,0.1307251691677808,,0.0,0.3339778541243021,0.22961185665897982,0.5406222224914033,0.02049545832393302,0.03923450916738714
l4,512,64,0.4088260514860447,0.1951300847381929,0.16873797855045883,0.11283339982968994,0.05590457872076889,,0.16635601950824452,,0.0,0.4088260514860447,0.2567732618150131,0.5507724494677313,0.029917405570211216,0.05426921496584867
l4,512,128,0.5818558781562622,0.3444250866502169,0.24721917840616156,0.18071727197000156,0.06650190643616001,,0.2662231016441862,,0.0,0.5818558781562622,0.41179694418385876,1.3149916043231824,0.04204407796023155,0.08608524962357413
l4,1024,64,0.643491086888505,0.5094339255974302,0.32648048210284525,0.18710829629658418,0.13937218580626104,,0.29588459692292146,,0.0,0.643491086888505,0.384378864405012,0.9951099183345349,0.05658995023115984,0.10483387876302762
l4,1024,128,0.6442938427025262,0.7091743671491768,0.3232491561199983,0.20578565887566977,0.11746349724432853,,0.31112947699391375,,0.0,0.6442938427025262,0.4544635069382683,1.3168121546674854,0.05471169434061032,0.1128069400042067
l4,2048,64,0.7651215229129202,1.1968535932396656,0.5690606378989865,0.2657872494394257,0.30327338845956076,,0.44787044556594174,,0.0,0.7651215229129202,0.5138368676097365,0.9356506209357534,0.10365815727582309,0.1787098345471262
l4,2048,128,0.7659253275715806,1.478859900697207,0.4696806331346385,0.24725140277006982,0.2224292303645686,,0.38731615197092983,,0.0,0.7659253275715806,0.6347455086794158,1.1296627075771797,0.08037870737126848,0.1640771599344751
l4,4096,64,0.9344444486084982,1.5718776467766478,0.6850101561270303,0.2857600605619974,0.39925009556503294,,0.5082890486219896,,0.0,0.9344444486084982,0.799610057189114,1.2878793557042958,0.12069226560333393,0.21305856356386366
l4,4096,128,0.9441192003632888,2.1046181328262006,0.5550891788620129,0.24730945529265064,0.3077797235693623,,0.4027728366379732,,0.0,0.9441192003632888,0.8478675288084481,1.1543704625492266,0.09181370913314985,0.19408289971172732
l4,8192,64,0.5918646425721437,1.7003026392305656,0.6148211943537343,0.19461880449497598,0.4202023898587583,,0.3250853282098234,,0.0,0.5918646425721437,0.5367501684538347,0.10991196348897841,0.10968062450175806,0.1733442215182959
l4,8192,128,0.6004810192414436,1.739512475167268,0.5515273261014079,0.21926598018482638,0.3322613459165815,,0.2142870954917014,,0.0,0.6004810192414436,0.41003097046462933,0.11045207301503647,0.06120118544947705,0.14706194583692184
rtxpro6000blackwellserveredition,256,64,0.008989507105048573,0.017117099704702866,0.006778304619391613,0.004759335187058953,0.004287110512588392,,0.00505604272588559,0.0027842450386372764,0.0,0.008989507105048573,0.13354560481063216,0.06520879487113855,0.0011325034228453308,0.0021814272572887924
rtxpro6000blackwellserveredition,256,128,0.1024551278694392,0.027023271367892298,0.021441804674230947,0.027339125644439622,0.00678138307062312,,0.03861009273992864,0.02592973932950652,0.0,0.1024551278694392,0.20485848099658208,0.1643431859800286,0.005053668424757202,0.01090893047041258
rtxpro6000blackwellserveredition,512,64,0.12478266159890616,0.05246220793401237,0.034710103393841195,0.03535411349947646,0.016337203531208672,,0.04795373693968319,0.030973323812603867,0.0,0.12478266159890616,0.1875613140447837,0.16351372554042412,0.007531195865527168,0.014687753161213058
rtxpro6000blackwellserveredition,512,128,0.2826415523660593,0.09875542338471949,0.05661077492854525,0.06649596135133212,0.02072611667006344,,0.08862800468792911,0.05801783176120946,0.0,0.2826415523660593,0.29779005195750424,0.42409258019564683,0.012247987079940797,0.025351886642830203
rtxpro6000blackwellserveredition,1024,64,0.3598890450607304,0.19225442263131667,0.10265147028678945,0.09209025273802891,0.05573819064022592,,0.11969220986904179,0.0745082695495834,0.0,0.3598890450607304,0.2936403440820549,0.41790753608382386,0.02041764498159735,0.040225107469491796
rtxpro6000blackwellserveredition,1024,128,0.6213986792518286,0.33372809163060424,0.13598442014928674,0.14033418767049213,0.06118987004166445,,0.18175070902133572,0.11621266279801414,0.0,0.6213986792518286,0.43365237967324705,1.1908834066887821,0.02501331155532117,0.062258295414364125
rtxpro6000blackwellserveredition,2048,64,0.6597815781912975,0.5132251747457676,0.246964555523415,0.20068513164482987,0.14424497738987258,,0.25120465799459746,0.15325868247001753,0.0,0.6597815781912975,0.41715661343167354,0.9236620036796825,0.04648597163834955,0.08777203000718022
rtxpro6000blackwellserveredition,2048,128,0.6910754801714575,0.7028389687080029,0.21182976241944082,0.18762965718556351,0.11112747710157751,,0.2372216245563588,0.1503198908785018,0.0,0.6910754801714575,0.4924449501563427,1.2441848228618924,0.03766434414829263,0.09477215525013158
rtxpro6000blackwellserveredition,4096,64,0.8540976801094072,0.8952159893538061,0.39559104998300515,0.2945036462893863,0.24672661020214004,,0.3584633025931956,0.2128524830891891,0.0,0.8540976801094072,0.5935011868382479,1.4677686373757601,0.07015730775941693,0.1375826331294485
rtxpro6000blackwellserveredition,4096,128,0.770141352670861,1.3241747534578103,0.3197489238505531,0.24190088967265125,0.18956086693694943,,0.292506650188821,0.18073067585713307,0.0,0.770141352670861,0.5840813554301477,0.7998124063876858,0.05615053771757895,0.14078550168465664
rtxpro6000blackwellserveredition,8192,64,0.8642472036080163,1.8291512719807823,0.6703575935430058,0.4317761362230797,0.4546189727000753,,0.5116707059858442,0.2955757339501729,0.0,0.8642472036080163,0.6768688254196967,0.5560288794376749,0.1275795053745141,0.22607961955190026
rtxpro6000blackwellserveredition,8192,128,0.8532402706547487,1.745380080696651,0.3816021497537531,0.26062445611998325,0.24114010853789838,,0.30095207920783845,0.18080963859357382,0.0,0.8532402706547487,0.6611804432742262,0.5254054891377185,0.06512950114965302,0.16458481943046901
