gpu,gpu_full_name,kernel,seq_len,head_dim,duration_mean_ns,duration_std_ns,duration_median_ns,duration_min_ns,duration_max_ns,kernels_per_iter,data_source,grid_x,grid_y,grid_z,block_x,block_y,block_z,registers_per_thread,static_shared_mem_bytes,dynamic_shared_mem_bytes,memcpy_h2d_bytes,memcpy_h2d_duration_ns,memcpy_d2h_bytes,memcpy_d2h_duration_ns
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,math,1024,128,72844.8,339.35567430678174,72880.0,72128.0,73280.0,15.0,kernel_table,256.0,1.0,1.0,128.0,1.0,1.0,32.0,0.0,0.0,15728640.0,358688.0,5242880.0,108320.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,mea,1024,128,61239.75,437.5349459727399,61216.0,60575.0,61952.0,1.0,kernel_table,16.0,1.0,1.0,32.0,8.0,1.0,122.0,0.0,52224.0,15728640.0,357023.0,5242880.0,101216.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,cudnn,1024,64,26028.65,38.0598904774816,26016.0,25983.0,26144.0,1.0,kernel_table,8.0,1.0,1.0,128.0,1.0,1.0,247.0,0.0,40960.0,7864320.0,217568.0,2621440.0,55392.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,flash,1024,64,10568.0,43.89461062710618,10560.0,10496.0,10656.0,2.0,kernel_table,16.0,4.0,1.0,128.0,1.0,1.0,236.0,0.0,73728.0,7864320.0,217504.0,2621440.0,55104.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,math,1024,64,62416.0,182.9443401118148,62368.0,62080.0,62688.0,15.0,kernel_table,128.0,1.0,1.0,128.0,1.0,1.0,32.0,0.0,0.0,7864320.0,218208.0,2621440.0,55392.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,mea,1024,64,53007.75,377.584828391686,52863.5,52544.0,53600.0,1.0,kernel_table,16.0,1.0,1.0,32.0,4.0,1.0,118.0,0.0,18944.0,7864320.0,218176.0,2621440.0,54816.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,cudnn,2048,128,49699.15,379.80123264121914,49456.0,49343.0,50336.0,1.0,kernel_table,32.0,1.0,1.0,128.0,1.0,1.0,192.0,0.0,40960.0,31457280.0,642080.0,10485760.0,200832.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,flash,2048,128,28312.0,152.5419700658771,28336.0,27936.0,28544.0,2.0,kernel_table,32.0,8.0,1.0,128.0,1.0,1.0,204.0,0.0,81920.0,31457280.0,641504.0,10485760.0,202015.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,math,2048,128,171628.7,633.7713434587222,171600.0,170527.0,172960.0,14.0,kernel_table,512.0,1.0,1.0,128.0,1.0,1.0,32.0,0.0,0.0,31457280.0,641952.0,10485760.0,200480.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,mea,2048,128,119286.35,538.0820985099226,119200.0,118624.0,120480.0,1.0,kernel_table,32.0,1.0,1.0,32.0,8.0,1.0,122.0,0.0,52224.0,31457280.0,642523.0,10485760.0,203584.0
