GpuName,SeqLen,HeadDim,Run,Range,Action,dram__cycles_active.avg,gpu__time_duration.sum,lts__cycles_active.avg,sm__cycles_active.avg,sm__cycles_elapsed.avg,sm__inst_executed.sum,sm__inst_executed_pipe_lsu.avg,sm__pipe_alu_cycles_active.avg,sm__pipe_fma_cycles_active.avg,sm__pipe_fp64_cycles_active.avg,sm__pipe_shared_cycles_active.avg,sm__pipe_tensor_cycles_active.avg,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,smsp__inst_executed_pipe_alu.sum,smsp__inst_executed_pipe_fma.sum,smsp__inst_executed_pipe_lsu.sum,smsp__inst_executed_pipe_tensor.sum,smsp__inst_executed_pipe_xu.avg.pct_of_peak_sustained_elapsed,smsp__inst_executed_pipe_xu.sum,smsp__issue_active.avg.pct_of_peak_sustained_elapsed,smsp__pcsamp_warps_issue_stalled_lg_throttle,smsp__pcsamp_warps_issue_stalled_long_scoreboard,smsp__pcsamp_warps_issue_stalled_math_pipe_throttle,smsp__pcsamp_warps_issue_stalled_not_selected,smsp__pcsamp_warps_issue_stalled_short_scoreboard,smsp__warps_issue_stalled_long_scoreboard.avg,smsp__warps_issue_stalled_math_pipe_throttle.avg,smsp__warps_issue_stalled_mio_throttle.avg,smsp__warps_issue_stalled_not_selected.avg,smsp__warps_issue_stalled_short_scoreboard.avg,smsp__warps_issue_stalled_wait.avg,sm__pipe_aluheavy_cycles_active.avg,sm__pipe_fmaheavy_cycles_active.avg,sm__pipe_fmalite_cycles_active.avg
rtxpro6000blackwellserveredition,256,64,1,0,flash_fwd_kernel,1310.0,10848.0,2674.359375,179.32978723404256,19983.26595744681,33408.0,13.95744680851064,103.03191489361704,138.04255319148936,0.0,,348.59574468085106,133120.0,4096.0,102400.0,0.0,8824.0,12672.0,2624.0,4096.0,0.1154157175125783,2168.0,0.2223136698950771,0.0,1.0,0.0,0.0,0.0,18.66489361702128,0.3949468085106383,3.0199468085106385,0.0,12.996010638297872,74.9561170212766,56.74468085106383,96.95744680851064,87.2872340425532
rtxpro6000blackwellserveredition,256,64,2,0,flash_fwd_kernel,1310.0,10912.0,2701.6875,180.5,20090.542553191488,33408.0,13.95744680851064,102.9255319148936,138.04255319148936,0.0,,348.59574468085106,133120.0,4096.0,102400.0,0.0,8824.0,12672.0,2624.0,4096.0,0.1147994372285891,2168.0,0.2211265912668764,0.0,0.0,0.0,0.0,2.0,17.706117021276597,0.3949468085106383,3.061170212765957,0.0,12.965425531914894,74.96010638297872,56.765957446808514,96.98936170212764,87.32978723404256
rtxpro6000blackwellserveredition,256,64,3,0,flash_fwd_kernel,1320.0,10944.0,2729.359375,181.91489361702128,20215.59574468085,33408.0,13.95744680851064,102.86170212765956,138.04255319148936,0.0,,348.59574468085106,133120.0,4096.0,102400.0,0.0,8824.0,12672.0,2624.0,4096.0,0.1140892906572027,2168.0,0.2197587074651654,0.0,0.0,0.0,0.0,2.0,17.83776595744681,0.3989361702127659,3.014627659574468,0.0,12.985372340425531,74.95079787234043,56.691489361702125,96.98936170212764,87.35106382978724
rtxpro6000blackwellserveredition,256,64,4,0,flash_fwd_kernel,1310.0,10912.0,2709.671875,181.45744680851064,20162.0,33408.0,13.95744680851064,103.03191489361704,138.04255319148936,0.0,,348.59574468085106,133120.0,4096.0,102400.0,0.0,8824.0,12672.0,2624.0,4096.0,0.1143925691262476,2168.0,0.2203428822284179,0.0,1.0,0.0,0.0,0.0,17.555851063829788,0.4069148936170212,3.089095744680851,0.0,12.868351063829786,74.91755319148936,56.765957446808514,96.96808510638296,87.32978723404256
rtxpro6000blackwellserveredition,512,64,0,0,flash_fwd_splitkv_kernel,2086.0,9056.0,2902.28125,1138.6170212765958,16613.76595744681,135680.0,75.57446808510639,434.3617021276596,539.2340425531914,0.0,,1394.3829787234042,532480.0,12288.0,336892.0,0.0,37184.0,49088.0,14208.0,16384.0,0.577834069926631,9024.0,1.086000202344377,1.0,8.0,0.0,0.0,4.0,150.28324468085106,1.5319148936170213,31.981382978723403,0.0,109.66622340425532,331.0492021276596,247.89361702127655,367.74468085106383,357.9574468085106
rtxpro6000blackwellserveredition,512,64,0,0,flash_fwd_splitkv_combine_kernel,2262.0,5280.0,2099.25,2130.973404255319,9637.117021276596,157888.0,14.638297872340424,840.1702127659574,383.3191489361702,0.0,,0.0,28672.0,113664.0,10240.0,0.0,76032.0,26368.0,2752.0,0.0,1.080927133456748,9792.0,2.178633364573364,0.0,23.0,0.0,0.0,12.0,646.6369680851063,1.446808510638298,0.0,0.0,302.0691489361702,461.1090425531915,576.3404255319149,571.4893617021277,76.25531914893617
rtxpro6000blackwellserveredition,512,64,1,0,flash_fwd_splitkv_kernel,2084.0,9184.0,2944.515625,1164.648936170213,16915.86170212766,135680.0,75.57446808510639,434.3829787234043,539.2340425531914,0.0,,1394.3829787234042,532480.0,12288.0,336892.0,0.0,37184.0,49088.0,14208.0,16384.0,0.5675146894108576,9024.0,1.066605621942392,0.0,7.0,0.0,0.0,4.0,150.63962765957447,1.5319148936170213,31.981382978723403,0.0,109.64095744680851,331.0545212765957,247.91489361702128,367.74468085106383,357.9574468085106
rtxpro6000blackwellserveredition,512,64,1,0,flash_fwd_splitkv_combine_kernel,2262.0,5152.0,2067.1875,2110.404255319149,9467.72340425532,157888.0,14.638297872340424,840.5106382978723,383.3191489361702,0.0,,0.0,28672.0,113664.0,10240.0,0.0,76032.0,26368.0,2752.0,0.0,1.1002667517635505,9792.0,2.2176128076802937,0.0,28.0,0.0,0.0,10.0,659.3550531914893,1.446808510638298,0.0,0.0,301.9335106382979,461.1090425531915,576.5957446808511,571.2340425531914,76.25531914893617
rtxpro6000blackwellserveredition,512,64,2,0,flash_fwd_splitkv_kernel,2086.0,9024.0,2949.40625,1137.2446808510638,16591.117021276597,135680.0,75.57446808510639,434.3723404255319,539.2340425531914,0.0,,1394.3829787234042,532480.0,12288.0,336892.0,0.0,37184.0,49088.0,14208.0,16384.0,0.5786228852276115,9024.0,1.08748272755544,1.0,7.0,0.0,0.0,8.0,149.3909574468085,1.5319148936170213,31.981382978723403,0.0,109.61436170212764,331.0545212765957,247.90425531914892,367.6489361702128,357.968085106383
rtxpro6000blackwellserveredition,512,64,2,0,flash_fwd_splitkv_combine_kernel,2262.0,5344.0,2095.578125,2132.840425531915,9752.148936170212,157888.0,14.638297872340424,839.8297872340426,383.3191489361702,0.0,,0.0,28672.0,113664.0,10240.0,0.0,76032.0,26368.0,2752.0,0.0,1.068177008449856,9792.0,2.152935195952447,0.0,45.0,0.0,0.0,7.0,638.5531914893617,1.446808510638298,0.0,0.0,302.25132978723406,461.1090425531915,575.7446808510638,569.6170212765958,76.25531914893617
