,GpuName,SeqLen,HeadDim,SM_Util,Tensor_Util,FMA_Util,FMA_Heavy_Util,FMA_Lite_Util,Shared_Util,ALU_Util,ALU_Heavy_Util,FP64_Util,L1_Cache_Util,LTS_Util,DRAM_Util,SFU_Util,SMSP_Util
20,h10080gbhbm3,4096,64,0.8873622629367744,0.03468407344991355,2.284831497028647,1.2344288582223841,1.050402638806263,0.03468407344991355,0.8372872412945951,,0.0,0.8873622629367744,0.95682394469683,0.6572457220396639,0.049704034848811716,0.5084252403520695
21,h10080gbhbm3,4096,128,0.9015979971111912,0.027096949744958285,3.0365629293146106,1.4991922701548859,1.5373706591597252,0.027096949744958285,0.8136223693879936,,0.0,0.9015979971111912,0.9769596712846638,0.5313817549183366,0.038823536855477,0.6105015406623526
22,h10080gbhbm3,8192,64,0.9635654164908287,0.04913377123601753,2.5942455403079423,1.449855011759604,1.144390528548338,0.04913377123601753,0.9591242200207668,,0.0,0.9635654164908287,1.066107642464334,0.9647272999591349,3.5961041830089546e-05,0.5824055038561817
23,h10080gbhbm3,8192,128,0.966589779696901,0.030618819084026448,3.2221617090184793,1.5884582914176244,1.6337034176008545,0.030618819084026448,0.9420181404462926,,0.0,0.966589779696901,1.0511074678254753,0.6113231152110813,0.041240802525031484,0.6580053219999527
24,l4,256,64,0.37295693387717327,0.0,0.16682500598864847,0.07128528617591799,0.09553971981273049,,0.15525347056436697,,0.0,0.37295693387717327,0.3027094933793522,0.6528447030743901,0.002503010619869928,0.05556488028406565
25,l4,256,128,0.48177714175959246,0.0,0.27117257718090415,0.10802807016518864,0.16314450701571553,,0.18605795880033568,,0.0,0.48177714175959246,0.3355097004539359,0.7407838019362446,0.0022522736351798713,0.0771348946857589
26,l4,512,64,0.562821757743789,0.0,0.438360040599145,0.17890543416333102,0.259454606435814,,0.2692701673909191,,0.0,0.562821757743789,0.4727736255924981,1.44612709250854,0.007203565460262782,0.11700213687418806
27,l4,512,128,0.6161044444369262,0.0,0.6684065571586165,0.29782966075648665,0.37057689640212993,,0.2854007685983814,,0.0,0.6161044444369262,0.5610532448823216,1.6786774368638007,0.006404292533738408,0.15265460384809262
28,l4,1024,64,0.7418787828038493,0.0,0.9049594154997862,0.3461641847650425,0.5587952307347437,,0.5184304980659151,,0.0,0.7418787828038493,0.7116409991532949,2.9571416903865733,0.016035211028974775,0.22901034634322442
29,l4,1024,128,0.7559912981168538,0.0,1.341314402349454,0.5822541025877652,0.759060299761689,,0.5033485693192119,,0.0,0.7559912981168538,0.7457509389040584,2.8303492876905176,0.013365234809703985,0.2856208913051739
